"index","rectangle","square","isoTrapezoid","parallelogram","losange","kite","rightKite","rustedHinge","hinge","trapezoid","random"
"rectangle",0,0.25,0.6875,0.4375,0.6875,0.9375,0.8125,0.625,0.6875,0.6875,0.75
"square",0.25,0,0.6875,0.6875,0.4375,0.9375,0.8125,0.625,0.6875,0.8125,1
"isoTrapezoid",0.6875,0.6875,0,0.5,0.5,0.5,0.5,0.6875,0.75,0.375,0.5625
"parallelogram",0.4375,0.6875,0.5,0,0.25,0.625,0.75,0.5625,0.5,0.5,0.4375
"losange",0.6875,0.4375,0.5,0.25,0,0.625,0.75,0.5625,0.5,0.625,0.6875
"kite",0.9375,0.9375,0.5,0.625,0.625,0,0.25,0.5625,0.375,0.5,0.3125
"rightKite",0.8125,0.8125,0.5,0.75,0.75,0.25,0,0.4375,0.5,0.5,0.3125
"rustedHinge",0.625,0.625,0.6875,0.5625,0.5625,0.5625,0.4375,0,0.1875,0.5625,0.5
"hinge",0.6875,0.6875,0.75,0.5,0.5,0.375,0.5,0.1875,0,0.5,0.4375
"trapezoid",0.6875,0.8125,0.375,0.5,0.625,0.5,0.5,0.5625,0.5,0,0.3125
"random",0.75,1,0.5625,0.4375,0.6875,0.3125,0.3125,0.5,0.4375,0.3125,0
