,rectangle,rightKite,hinge,parallelogram,kite,rustedHinge,isoTrapezoid,trapezoid,random,square,losange
rectangle,0,3.8626,0.8727,1.0472,6.5575,1.2218,4.2529,3.5975,4.7864,3.1416,1.5458
rightKite,3.8626,0,3.9386,3.5022,3.2278,4.1131,0.9305,0.9346,1.6447,6.6437,3.5022
hinge,0.8727,3.9386,0,1.1522,6.9939,0.3491,3.9851,3.4746,4.4551,3.9092,1.6508
parallelogram,1.0472,3.5022,1.1522,0,6.5575,1.4756,3.9735,2.8870,3.8611,4.1888,0.4986
kite,6.5575,3.2278,6.9939,6.5575,0,7.1684,3.5841,3.9489,4.4284,6.5575,6.5575
rustedHinge,1.2218,4.1131,0.3491,1.4756,7.1684,0,4.1596,3.7979,4.6039,3.9350,1.9741
isoTrapezoid,4.2529,0.9305,3.9851,3.9735,3.5841,4.1596,0,1.1369,0.9212,7.1327,3.9735
trapezoid,3.5975,0.9346,3.4746,2.8870,3.9489,3.7979,1.1369,0,1.2258,6.7391,2.8366
random,4.7864,1.6447,4.4551,3.8611,4.4284,4.6039,0.9212,1.2258,0,7.9280,3.8476
square,3.1416,6.6437,3.9092,4.1888,6.5575,3.9350,7.1327,6.7391,7.9280,0,4.6874
losange,1.5458,3.5022,1.6508,0.4986,6.5575,1.9741,3.9735,2.8366,3.8476,4.6874,0
